市町村,マクロ,フェムト,ミリ波,sub6
松山市,105,142,13,13
今治市,34,30,5,5
宇和島市,28,3,2,2
八幡浜市,10,0,3,3
新居浜市,29,22,6,6
西条市,35,32,6,6
大洲市,11,12,3,3
伊予市,13,10,2,2
四国中央市,33,8,4,4
西予市,19,0,4,4
東温市,12,1,4,4
越智郡上島町,2,0,0,0
上浮穴郡久万高原町,4,0,0,0
伊予郡松前町,5,6,2,2
伊予郡砥部町,6,5,2,2
喜多郡内子町,6,2,2,2
西宇和郡伊方町,6,0,2,2
北宇和郡鬼北町,5,0,2,2
南宇和郡愛南町,6,1,2,2
北宇和郡松野町,0,0,1,1
