市町村,マクロ,フェムト,ミリ波,sub6
松山市,159,183,26,36
今治市,101,47,18,18
宇和島市,87,10,9,9
八幡浜市,34,0,8,10
新居浜市,45,30,6,11
西条市,66,44,8,12
大洲市,47,13,9,10
伊予市,43,8,5,5
四国中央市,52,18,9,10
西予市,46,0,7,8
東温市,30,4,4,8
越智郡上島町,8,1,0,0
上浮穴郡久万高原町,25,1,2,3
伊予郡松前町,12,5,2,2
伊予郡砥部町,17,5,2,2
喜多郡内子町,34,4,4,5
西宇和郡伊方町,17,0,2,2
北宇和郡松野町,6,0,3,3
北宇和郡鬼北町,18,0,2,2
南宇和郡愛南町,31,4,3,3
