市町村,マクロ,フェムト,ミリ波,sub6
松山市,154,195,21,22
今治市,100,49,12,12
宇和島市,78,10,4,4
八幡浜市,28,0,6,6
新居浜市,45,31,6,6
西条市,63,47,6,7
大洲市,40,13,5,6
伊予市,37,11,4,4
四国中央市,52,18,5,6
西予市,42,0,5,6
東温市,30,5,4,6
越智郡上島町,7,1,0,0
上浮穴郡久万高原町,19,1,1,2
伊予郡松前町,12,5,2,2
伊予郡砥部町,17,5,2,2
喜多郡内子町,25,4,2,2
西宇和郡伊方町,14,0,2,2
北宇和郡松野町,6,0,2,2
北宇和郡鬼北町,17,0,2,2
南宇和郡愛南町,29,3,2,2
