市町村,マクロ,フェムト,ミリ波,sub6
松山市,106,153,14,14
今治市,41,33,5,5
宇和島市,31,4,2,2
八幡浜市,11,1,3,3
新居浜市,34,22,6,6
西条市,39,39,6,6
大洲市,22,15,3,3
伊予市,16,11,2,2
四国中央市,36,9,4,4
西予市,20,0,4,4
東温市,13,3,4,4
越智郡上島町,3,0,0,0
上浮穴郡久万高原町,9,1,0,0
伊予郡松前町,7,7,2,2
伊予郡砥部町,10,5,2,2
喜多郡内子町,8,3,2,2
西宇和郡伊方町,7,0,2,2
北宇和郡松野町,1,0,1,1
北宇和郡鬼北町,5,0,2,2
南宇和郡愛南町,8,2,2,2
