市町村,マクロ,フェムト,ミリ波,sub6
松山市,162,149,25,35
今治市,102,42,18,18
宇和島市,88,8,9,9
八幡浜市,36,0,8,10
新居浜市,45,25,6,11
西条市,66,43,8,12
大洲市,50,15,9,10
伊予市,46,8,5,5
四国中央市,52,16,9,10
西予市,51,0,7,8
東温市,30,4,4,8
越智郡上島町,8,1,0,0
上浮穴郡久万高原町,26,0,2,3
伊予郡松前町,12,4,2,2
伊予郡砥部町,17,5,2,2
喜多郡内子町,39,3,4,5
西宇和郡伊方町,18,0,2,2
北宇和郡松野町,6,0,3,3
北宇和郡鬼北町,21,0,2,2
南宇和郡愛南町,32,4,3,3
