市町村,マクロ,フェムト,ミリ波,sub6
松山市,158,191,25,35
今治市,101,46,18,18
宇和島市,83,9,9,9
八幡浜市,32,0,8,10
新居浜市,45,31,6,11
西条市,65,45,8,12
大洲市,45,13,9,10
伊予市,41,10,5,5
四国中央市,52,18,9,10
西予市,44,0,7,8
東温市,30,5,4,8
越智郡上島町,8,1,0,0
上浮穴郡久万高原町,24,2,2,3
伊予郡松前町,12,5,2,2
伊予郡砥部町,17,5,2,2
喜多郡内子町,32,4,4,5
西宇和郡伊方町,15,0,2,2
北宇和郡松野町,6,0,3,3
北宇和郡鬼北町,18,0,2,2
南宇和郡愛南町,31,4,3,3
