市町村,マクロ,フェムト,ミリ波,sub6
松山市,148,202,21,21
今治市,97,50,12,12
宇和島市,70,11,4,4
八幡浜市,24,0,6,6
新居浜市,44,34,6,6
西条市,60,52,6,6
大洲市,37,15,6,6
伊予市,33,13,4,4
四国中央市,51,22,6,6
西予市,40,0,5,5
東温市,30,5,4,5
越智郡上島町,6,2,0,0
上浮穴郡久万高原町,19,1,2,2
伊予郡松前町,12,6,2,2
伊予郡砥部町,16,5,2,2
喜多郡内子町,25,6,2,2
西宇和郡伊方町,14,0,2,2
北宇和郡松野町,5,0,1,1
北宇和郡鬼北町,15,0,2,2
南宇和郡愛南町,27,3,2,2
