市町村,マクロ,フェムト,ミリ波,sub6
松山市,139,200,17,17
今治市,72,51,8,8
宇和島市,45,7,2,2
八幡浜市,12,1,4,4
新居浜市,38,28,5,5
西条市,48,48,5,5
大洲市,32,17,4,4
伊予市,21,12,2,2
四国中央市,39,23,4,4
西予市,28,0,4,4
東温市,26,5,3,3
越智郡上島町,5,0,0,0
上浮穴郡久万高原町,15,1,0,0
伊予郡松前町,10,9,2,2
伊予郡砥部町,11,5,2,2
喜多郡内子町,10,3,2,2
西宇和郡伊方町,11,0,2,2
北宇和郡松野町,4,0,1,1
北宇和郡鬼北町,9,0,2,2
南宇和郡愛南町,15,3,2,2
