市町村,マクロ,フェムト,ミリ波,sub6
松山市,157,191,25,35
今治市,101,47,18,18
宇和島市,81,9,9,9
八幡浜市,30,0,8,10
新居浜市,45,31,6,10
西条市,65,46,7,11
大洲市,42,13,8,9
伊予市,39,10,5,5
四国中央市,52,17,8,9
西予市,43,0,6,7
東温市,30,5,4,8
越智郡上島町,8,1,0,0
上浮穴郡久万高原町,22,2,2,3
伊予郡松前町,12,5,2,2
伊予郡砥部町,17,5,2,2
喜多郡内子町,32,4,4,5
西宇和郡伊方町,14,0,2,2
北宇和郡松野町,6,0,3,3
北宇和郡鬼北町,17,0,2,2
南宇和郡愛南町,29,3,3,3
